"","X","partis.2014"
"3",78621,4
"4",93014,4
"5",93046,3
"6",95585,4
"9",92012,3
"10",93055,4
"11",93008,3
"12",93062,3
"16",77243,3
"17",95280,4
"18",78361,3
"20",94052,3
"21",93048,4
"22",95369,3
"23",95680,4
"24",92024,4
"25",78158,3
"26",77108,3
"27",93001,4
"28",94018,3
"29",93057,3
"31",77058,3
"32",78642,3
"33",78646,3
"34",95582,3
"35",93006,4
"36",94081,4
"37",78383,3
"38",93077,3
"39",93066,4
"41",78358,3
"42",92051,3
"43",95500,3
"44",92049,3
"45",93032,3
"46",78423,3
"47",78117,3
"48",93027,4
"49",93007,3
"50",92048,3
"51",94022,4
"52",77350,3
"53",78297,4
"54",94080,3
"56",93072,4
"57",91665,3
"58",92026,3
"59",91228,4
"60",94071,3
"61",94067,3
"62",77379,3
"63",94068,3
"64",91687,3
"65",78517,3
"67",78440,4
"68",93051,4
"69",92002,3
"70",91471,4
"71",95063,4
"72",91223,3
"73",78490,3
"74",91338,3
"75",78650,3
"76",92063,3
"77",91114,3
"78",92004,3
"79",93070,3
"80",93005,3
"81",92071,3
"82",94028,4
"83",94078,1
"84",91182,3
"85",95127,4
"86",95210,3
"87",92014,3
"88",94034,4
"89",77288,3
"90",77258,4
"91",77284,3
"92",77053,4
"93",91027,1
"94",93078,3
"95",78372,3
"96",92019,3
"97",77083,4
"98",91174,3
"99",93010,4
"100",92023,3
"101",95197,3
"102",94041,4
"103",94077,3
"104",91432,4
"105",92062,4
"106",92022,3
"107",77152,3
"108",77079,4
"109",93053,3
"110",92036,4
"111",77186,3
"112",95277,4
"113",77449,3
"114",91570,3
"115",78674,3
"116",77296,4
"117",94046,3
"118",78586,3
"119",94073,3
"120",92076,3
"121",93064,3
"122",93029,3
"123",92040,3
"124",95018,3
"125",78354,4
"126",77333,3
"127",95607,3
"128",91692,2
"129",94021,4
"130",77337,4
"131",77067,3
"132",95052,3
"133",91377,3
"134",92078,3
"135",94058,3
"136",93074,3
"137",95580,2
"138",92050,4
"139",92009,3
"140",91345,3
"141",78124,3
"142",94016,1
"143",92075,3
"144",93045,4
"145",78498,3
"146",92064,3
"147",77126,4
"148",95313,3
"149",91477,3
"150",92044,3
"151",92073,3
"152",95428,3
"153",93063,4
"154",91021,4
"155",77487,4
"156",93071,4
"157",95250,4
"158",77327,4
"159",92007,4
"160",91272,3
"161",93031,2
"162",77468,4
"163",94033,4
"164",78683,3
"165",95637,4
"166",77470,4
"167",95252,3
"168",92072,3
"169",93050,4
"170",94004,4
"171",95572,4
"172",77259,3
"173",95199,3
"174",78172,3
"175",91086,3
"176",78029,3
"177",77285,3
"178",78126,3
"179",77390,3
"180",77393,3
"181",78513,1
"182",93073,4
"183",95203,3
"184",78545,3
"185",94043,4
"186",95306,3
"187",95219,3
"188",91103,3
"189",91589,3
"190",95476,3
"191",95268,3
"192",91386,3
"193",94044,3
"194",91661,3
"195",95323,3
"196",95352,3
"197",77014,3
"198",77183,3
"199",77131,3
"200",78335,4
"201",77122,3
"202",94002,4
"203",94019,1
"204",91421,3
"205",92025,3
"206",77445,1
"207",78005,3
"208",91215,3
"209",92060,3
"210",95351,1
"211",77194,1
"212",77389,3
"213",77294,4
"214",77305,3
"215",77373,4
"216",94017,4
"217",94042,3
"225",91200,4
"226",91201,3
"227",91549,4
"228",77459,3
"229",93030,3
"230",77153,3
"231",78160,3
"232",78162,1
"233",78163,1
"234",78164,1
"235",78165,3
"236",78168,3
"237",78171,3
"238",78185,1
"239",78188,1
"240",78189,1
"241",78190,3
"242",78192,4
"243",78193,1
"244",78194,1
"245",78196,1
"246",78202,3
"247",78206,1
"248",78208,3
"249",78209,1
"250",78217,3
"251",78220,3
"252",78224,3
"253",78227,4
"254",78230,2
"255",78231,1
"256",78233,3
"257",78234,1
"258",78236,1
"259",78237,1
"260",78238,3
"261",78239,3
"262",78242,3
"263",78245,1
"264",78246,1
"265",78251,3
"266",78255,3
"267",78261,1
"268",78262,3
"269",78263,3
"270",78264,1
"271",78265,3
"272",78267,3
"273",78269,1
"274",78276,2
"275",78278,1
"276",78281,1
"277",78283,1
"278",78285,1
"279",78289,1
"280",78290,1
"281",78291,3
"282",78296,1
"283",78299,3
"284",78300,1
"285",78302,1
"286",78305,1
"287",78307,1
"288",78310,3
"289",78311,3
"290",78314,4
"291",78317,1
"292",78320,1
"293",78321,3
"294",78322,3
"295",78324,1
"296",78325,1
"297",78327,4
"298",78329,2
"299",78334,3
"300",78337,3
"301",78343,3
"302",78349,1
"303",78356,4
"304",78362,3
"305",78364,2
"306",78366,1
"307",78368,2
"308",78380,3
"309",78381,2
"310",78382,4
"311",78384,3
"312",78385,1
"313",78389,3
"314",78391,2
"315",78396,3
"316",78398,1
"317",78401,3
"318",78402,3
"319",78403,1
"320",78404,1
"321",78406,1
"322",78407,1
"323",78410,1
"324",78413,1
"325",78415,1
"326",78416,1
"327",78417,2
"328",78418,3
"329",78420,3
"330",78431,3
"331",78437,3
"332",78439,1
"333",78442,3
"334",78444,1
"335",78451,1
"336",78455,3
"337",78460,1
"338",78465,1
"339",78466,3
"340",78470,1
"341",78472,3
"342",78474,1
"343",78475,1
"344",78478,1
"345",78481,3
"346",78484,1
"347",78486,4
"348",78497,1
"349",78499,1
"350",78501,3
"351",78502,3
"352",78503,1
"353",78506,1
"354",78516,1
"355",78518,2
"356",78520,3
"357",78522,1
"358",78524,3
"359",78528,3
"360",78530,1
"361",78531,3
"362",78536,1
"363",78537,4
"364",78548,1
"365",78550,3
"366",78558,1
"367",78559,1
"368",78561,3
"369",78564,1
"370",78565,1
"371",78567,2
"372",78569,1
"373",78571,3
"374",78575,3
"375",78576,3
"376",78588,1
"377",78590,1
"378",78591,1
"379",78597,1
"380",78601,3
"381",78605,3
"382",78608,1
"383",78609,1
"384",78615,1
"385",78616,3
"386",78618,1
"387",78620,3
"388",78623,1
"389",78624,3
"390",78638,2
"391",78640,3
"392",78643,3
"393",78644,4
"394",78647,1
"395",78653,1
"396",78655,1
"397",78668,1
"398",78672,3
"399",78677,1
"400",78681,1
"401",78686,3
"402",78688,3
"403",77001,3
"404",77002,1
"405",77003,1
"406",77004,1
"407",77005,3
"408",77006,4
"409",77007,1
"410",77008,3
"411",77009,1
"412",77010,3
"413",77011,1
"414",77012,1
"415",77013,1
"416",77015,1
"417",77016,4
"418",77019,1
"419",77020,1
"420",77021,1
"421",77022,3
"422",77023,1
"423",77025,1
"424",77026,1
"425",77028,1
"426",77029,3
"427",77030,1
"428",77031,1
"429",77032,1
"430",77034,1
"431",77036,1
"432",77037,3
"433",77038,1
"434",77040,3
"435",77041,1
"436",77042,3
"437",77043,1
"438",77044,1
"439",77047,3
"440",77048,3
"441",77050,2
"442",77051,4
"443",77052,1
"444",77054,1
"445",77055,3
"446",77057,1
"447",77059,3
"448",77061,4
"449",77062,3
"450",77065,3
"451",77066,1
"452",77069,3
"453",77070,3
"454",77071,1
"455",77072,1
"456",77075,4
"457",77076,1
"458",77077,1
"459",77080,1
"460",77081,4
"461",77084,3
"462",77086,3
"463",77087,1
"464",77088,3
"465",77089,1
"466",77090,1
"467",77091,1
"468",77093,1
"469",77094,1
"470",77095,3
"471",77096,3
"472",77097,1
"473",77098,1
"474",77099,3
"475",77100,3
"476",77101,1
"477",77102,1
"478",77103,1
"479",77104,1
"480",77106,3
"481",77107,4
"482",77109,3
"483",77110,1
"484",77111,3
"485",77112,1
"486",77113,3
"487",77114,2
"488",77115,1
"489",77116,3
"490",77117,1
"491",77119,1
"492",77120,1
"493",77121,4
"494",77124,3
"495",77127,3
"496",77128,2
"497",77129,1
"498",77132,3
"499",77134,1
"500",77135,1
"501",77136,3
"502",77138,1
"503",77139,3
"504",77140,1
"505",77142,3
"506",77143,4
"507",77144,1
"508",77145,1
"509",77147,1
"510",77148,3
"511",77149,1
"512",77150,1
"513",77155,3
"514",77156,1
"515",77157,1
"516",77159,4
"517",77161,1
"518",77162,4
"519",77164,1
"520",77168,3
"521",77171,3
"522",77173,1
"523",77174,1
"524",77175,3
"525",77177,4
"526",77178,1
"527",77179,1
"528",77181,3
"529",77182,3
"530",77185,1
"531",77187,1
"532",77190,1
"533",77191,3
"534",77192,4
"535",77193,1
"536",77195,1
"537",77196,1
"538",77197,1
"539",77198,1
"540",77199,3
"541",77200,1
"542",77201,1
"543",77202,1
"544",77203,3
"545",77204,1
"546",77205,1
"547",77206,2
"548",77207,1
"549",77208,1
"550",77209,3
"551",77210,1
"552",77211,3
"553",77212,1
"554",77214,3
"555",77215,3
"556",77216,3
"557",77217,3
"558",77218,1
"559",77219,3
"560",77220,1
"561",77222,3
"562",77223,1
"563",77226,3
"564",77227,1
"565",77228,1
"566",77230,1
"567",77231,1
"568",77232,1
"569",77233,1
"570",77235,1
"571",77236,1
"572",77238,3
"573",77239,3
"574",77241,3
"575",77242,1
"576",77245,1
"577",77247,1
"578",77248,1
"579",77249,3
"580",77251,4
"581",77252,1
"582",77254,3
"583",77255,4
"584",77256,1
"585",77260,4
"586",77262,1
"587",77263,1
"588",77264,4
"589",77266,1
"590",77267,3
"591",77269,3
"592",77270,3
"593",77271,1
"594",77272,3
"595",77274,3
"596",77275,1
"597",77276,3
"598",77278,1
"599",77279,3
"600",77280,3
"601",77282,1
"602",77283,1
"603",77286,1
"604",77287,1
"605",77290,1
"606",77291,1
"607",77292,4
"608",77293,1
"609",77295,4
"610",77297,1
"611",77298,1
"612",77300,1
"613",77301,3
"614",77302,4
"615",77303,1
"616",77306,1
"617",77307,3
"618",77308,1
"619",77309,3
"620",77310,1
"621",77311,3
"622",77312,3
"623",77313,1
"624",77314,1
"625",77316,3
"626",77317,3
"627",77319,1
"628",77320,3
"629",77321,2
"630",77323,4
"631",77325,1
"632",77326,4
"633",77328,1
"634",77329,1
"635",77331,1
"636",77332,1
"637",77335,4
"638",77338,1
"639",77339,3
"640",77340,1
"641",77342,1
"642",77343,1
"643",77344,3
"644",77347,2
"645",77348,1
"646",77349,4
"647",77352,2
"648",77353,1
"649",77354,4
"650",77357,2
"651",77359,3
"652",77360,1
"653",77361,1
"654",77364,1
"655",77365,1
"656",77367,1
"657",77368,1
"658",77369,1
"659",77370,1
"660",77371,2
"661",77374,4
"662",77377,3
"663",77378,3
"664",77380,1
"665",77382,4
"666",77383,1
"667",77385,2
"668",77386,1
"669",77388,1
"670",77392,1
"671",77395,1
"672",77396,1
"673",77397,3
"674",77398,1
"675",77399,1
"676",77400,3
"677",77401,1
"678",77402,1
"679",77403,1
"680",77404,2
"681",77405,4
"682",77406,3
"683",77407,3
"684",77408,1
"685",77409,4
"686",77410,1
"687",77411,1
"688",77412,1
"689",77413,3
"690",77414,1
"691",77415,3
"692",77416,1
"693",77417,1
"694",77418,1
"695",77419,4
"696",77420,3
"697",77421,1
"698",77423,1
"699",77424,1
"700",77426,1
"701",77427,1
"702",77428,2
"703",77429,1
"704",77430,4
"705",77432,1
"706",77433,3
"707",77434,1
"708",77435,3
"709",77437,3
"710",77438,3
"711",77439,3
"712",77441,3
"713",77442,3
"714",77444,1
"715",77446,1
"716",77447,3
"717",77448,1
"718",77450,4
"719",77451,1
"720",77453,3
"721",77455,4
"722",77456,1
"723",77457,3
"724",77458,1
"725",77460,4
"726",77461,1
"727",77463,3
"728",77464,1
"729",77466,1
"730",77467,1
"731",77469,3
"732",77471,1
"733",77473,1
"734",77474,1
"735",77476,1
"736",77477,1
"737",77479,3
"738",77480,1
"739",77481,1
"740",77483,3
"741",77484,1
"742",77485,3
"743",77489,1
"744",77490,2
"745",77492,1
"746",77493,4
"747",77494,4
"748",77495,4
"749",77496,1
"750",77498,1
"751",77500,1
"752",77501,1
"753",77504,1
"754",77505,1
"755",77506,1
"756",77507,1
"757",77508,3
"758",77509,3
"759",77510,3
"760",77511,3
"761",77512,3
"762",77513,4
"763",77514,3
"764",77515,4
"765",77516,1
"766",77517,3
"767",77518,2
"768",77519,3
"769",77520,1
"770",77521,3
"771",77523,1
"772",77524,1
"773",77525,1
"774",77527,4
"775",77528,3
"776",77529,3
"777",77531,3
"778",77532,1
"779",77533,3
"780",78003,4
"781",78006,2
"782",78007,3
"783",78010,1
"784",78013,2
"785",78015,3
"786",78020,3
"787",78030,3
"788",78031,1
"789",78033,3
"790",78036,3
"791",78043,3
"792",78048,1
"793",78050,2
"794",78053,1
"795",78062,3
"796",78068,4
"797",78070,1
"798",78071,1
"799",78072,1
"800",78073,3
"801",78076,1
"802",78077,1
"803",78082,1
"804",78084,1
"805",78087,4
"806",78089,4
"807",78090,1
"808",78092,3
"809",78096,1
"810",78104,1
"811",78107,1
"812",78108,3
"813",78113,1
"814",78118,3
"815",78120,1
"816",78123,2
"817",78125,1
"818",78128,3
"819",78133,3
"820",78138,3
"821",78140,2
"822",78143,3
"823",78146,3
"824",78152,3
"825",91001,2
"826",91017,3
"827",91022,3
"828",91037,1
"829",91038,3
"830",91041,3
"831",91044,3
"832",91047,3
"833",91064,3
"834",91067,1
"835",91069,3
"836",91075,1
"837",91080,4
"838",91081,2
"839",91085,3
"840",91093,2
"841",91097,4
"842",91098,1
"843",91099,3
"844",91100,1
"845",91105,3
"846",91106,4
"847",91109,2
"848",91111,4
"849",91112,1
"850",91115,3
"851",91121,2
"852",91122,2
"853",91130,3
"854",91131,1
"855",91132,3
"856",91136,3
"857",91137,3
"858",91145,3
"859",91156,1
"860",91159,3
"861",91161,3
"862",91175,1
"863",91180,3
"864",91184,1
"865",91186,1
"866",91191,3
"867",91195,2
"868",91198,1
"869",91204,1
"870",91207,3
"871",91216,3
"872",91222,1
"873",91225,3
"874",91226,3
"875",91232,2
"876",91235,4
"877",91240,1
"878",91243,3
"879",91244,3
"880",91247,1
"881",91248,3
"882",91249,3
"883",91273,1
"884",91274,3
"885",91275,3
"886",91284,3
"887",91286,4
"888",91292,4
"889",91293,1
"890",91294,3
"891",91312,3
"892",91315,3
"893",91318,1
"894",91326,3
"895",91330,3
"896",91333,4
"897",91339,3
"898",91340,3
"899",91359,3
"900",91363,4
"901",91374,1
"902",91376,3
"903",91378,3
"904",91390,2
"905",91399,1
"906",91405,3
"907",91411,4
"908",91412,1
"909",91414,1
"910",91425,3
"911",91433,3
"912",91434,4
"913",91441,1
"914",91457,4
"915",91458,2
"916",91461,4
"917",91463,3
"918",91468,3
"919",91473,2
"920",91479,2
"921",91482,3
"922",91495,1
"923",91507,1
"924",91508,3
"925",91511,4
"926",91519,3
"927",91521,4
"928",91525,1
"929",91526,3
"930",91533,3
"931",91534,3
"932",91540,2
"933",91544,1
"934",91546,3
"935",91552,3
"936",91556,2
"937",91560,3
"938",91568,3
"939",91573,3
"940",91577,3
"941",91578,3
"942",91579,3
"943",91581,2
"944",91587,4
"945",91593,3
"946",91599,2
"947",91600,2
"948",91602,1
"949",91613,1
"950",91617,4
"951",91619,1
"952",91629,1
"953",91630,1
"954",91631,2
"955",91634,3
"956",91635,3
"957",91639,2
"958",91645,3
"959",91648,1
"960",91649,3
"961",91654,1
"962",91657,3
"963",91662,1
"964",91666,3
"965",91667,3
"966",91671,1
"967",91679,1
"968",91689,3
"969",91691,3
"970",92020,3
"971",92032,3
"972",92033,3
"973",92047,3
"974",92077,2
"975",93015,3
"976",93047,3
"977",93049,3
"978",93059,4
"979",93061,4
"980",93079,4
"981",94001,3
"982",94003,4
"983",94011,1
"984",94015,3
"985",94037,4
"986",94047,3
"987",94048,3
"988",94053,3
"989",94054,4
"990",94055,3
"991",94056,3
"992",94059,2
"993",94065,3
"994",94069,3
"995",94074,4
"996",94076,3
"997",95002,2
"998",95008,2
"999",95012,2
"1000",95014,3
"1001",95019,3
"1002",95023,1
"1003",95024,2
"1004",95028,1
"1005",95039,3
"1006",95040,2
"1007",95042,1
"1008",95051,2
"1009",95054,3
"1010",95055,1
"1011",95058,1
"1012",95059,1
"1013",95060,4
"1014",95061,1
"1015",95074,3
"1016",95078,3
"1017",95091,4
"1018",95094,1
"1019",95101,4
"1020",95102,1
"1021",95110,1
"1022",95116,4
"1023",95119,1
"1024",95120,1
"1025",95134,3
"1026",95139,1
"1027",95142,4
"1028",95144,3
"1029",95149,2
"1030",95150,1
"1031",95151,1
"1032",95154,1
"1033",95157,2
"1034",95166,3
"1035",95169,3
"1036",95170,1
"1037",95176,3
"1038",95177,1
"1039",95181,1
"1040",95183,4
"1041",95205,4
"1042",95211,1
"1043",95213,1
"1044",95214,1
"1045",95218,3
"1046",95229,3
"1047",95241,1
"1048",95253,1
"1049",95254,1
"1050",95257,3
"1051",95258,1
"1052",95259,2
"1053",95270,1
"1054",95271,2
"1055",95287,1
"1056",95288,3
"1057",95295,1
"1058",95298,1
"1059",95303,1
"1060",95304,1
"1061",95309,1
"1062",95316,1
"1063",95328,1
"1064",95331,1
"1065",95348,2
"1066",95353,3
"1067",95355,4
"1068",95370,4
"1069",95371,4
"1070",95387,3
"1071",95388,4
"1072",95392,3
"1073",95394,3
"1074",95395,1
"1075",95422,1
"1076",95424,4
"1077",95427,3
"1078",95429,1
"1079",95430,3
"1080",95438,1
"1081",95445,1
"1082",95447,1
"1083",95450,3
"1084",95452,1
"1085",95456,3
"1086",95459,1
"1087",95480,3
"1088",95483,1
"1089",95488,4
"1090",95489,1
"1091",95491,3
"1092",95492,1
"1093",95493,1
"1094",95504,3
"1095",95509,1
"1096",95510,1
"1097",95523,1
"1098",95527,3
"1099",95529,2
"1100",95535,3
"1101",95539,3
"1102",95541,1
"1103",95543,1
"1104",95554,3
"1105",95555,3
"1106",95563,3
"1107",95566,1
"1108",95574,3
"1109",95584,1
"1110",95592,1
"1111",95594,3
"1112",95598,3
"1113",95604,3
"1114",95610,3
"1115",95612,4
"1116",95627,3
"1117",95633,1
"1118",95641,4
"1119",95651,1
"1120",95656,1
"1121",95658,3
"1122",95660,3
"1123",95676,3
"1124",95678,1
"1125",95690,2
"1126",77018,3
"1127",77024,1
"1128",77027,3
"1129",77033,1
"1130",77035,1
"1131",77039,2
"1132",77045,1
"1133",77049,1
"1134",77056,1
"1135",77060,1
"1136",77063,2
"1137",77068,1
"1138",77073,1
"1139",77078,3
"1140",77082,1
"1141",77085,4
"1142",77118,3
"1143",77123,4
"1144",77125,3
"1145",77130,1
"1146",77133,1
"1147",77137,1
"1148",77141,2
"1149",77146,3
"1150",77151,1
"1151",77154,3
"1152",77158,3
"1153",77163,1
"1154",77167,1
"1155",77169,3
"1156",77172,1
"1157",77176,3
"1158",77180,3
"1159",77184,1
"1160",77188,1
"1161",77221,3
"1162",77224,1
"1163",77229,3
"1164",77234,1
"1165",77237,1
"1166",77240,3
"1167",77244,1
"1168",77246,1
"1169",77250,1
"1170",77253,1
"1171",77257,3
"1172",77261,3
"1173",77265,3
"1174",77268,3
"1175",77273,1
"1176",77277,3
"1177",77281,1
"1178",77289,1
"1179",77315,4
"1180",77318,3
"1181",77322,3
"1182",77330,3
"1183",77336,3
"1184",77341,1
"1185",77345,1
"1186",77355,1
"1187",77358,3
"1188",77363,3
"1189",77366,1
"1190",77372,3
"1191",77376,1
"1192",77381,1
"1193",77384,3
"1194",77387,1
"1195",77391,1
"1196",77394,4
"1197",77425,1
"1198",77431,3
"1199",77436,1
"1200",77440,4
"1201",77443,1
"1202",77452,1
"1203",77454,1
"1204",77462,1
"1205",77465,1
"1206",77475,4
"1207",77478,1
"1208",77482,4
"1209",77486,1
"1210",77522,1
"1211",77526,1
"1212",77530,1
"1213",77534,1
"1214",78009,2
"1215",78034,3
"1216",78049,1
"1217",78057,4
"1218",78147,1
"1219",91016,2
"1220",91035,1
"1221",91045,2
"1222",91079,1
"1223",91095,3
"1224",91129,3
"1225",91135,4
"1226",91148,1
"1227",78344,1
"1228",78350,3
"1229",78367,3
"1230",91179,3
"1231",91319,1
"1232",91332,3
"1233",91347,3
"1234",91393,1
"1235",91408,3
"1236",91435,1
"1237",91469,1
"1238",91494,4
"1239",91514,3
"1240",91538,1
"1241",91547,1
"1242",91553,3
"1243",91659,2
"1244",91685,3
"1245",92046,4
"1246",92035,3
"1247",93013,3
"1248",93033,3
"1249",94038,3
"1250",94070,3
"1251",94075,1
"1252",94079,3
"1253",95011,2
"1254",95026,3
"1255",95046,1
"1256",95056,3
"1257",95088,3
"1258",95212,3
"1259",95256,3
"1260",95282,1
"1261",95301,2
"1262",95308,2
"1263",95341,1
"1264",95365,1
"1265",95379,1
"1266",95409,3
"1267",95426,3
"1268",95436,1
"1269",95446,2
"1270",95462,1
"1271",78443,1
"1272",78464,1
"1273",95487,3
"1274",95625,3
"1275",95628,4
"1276",95652,3
"1277",95675,2
"1278",95682,1
"1279",78557,1
"1280",78562,3
"1281",78397,3
"1282",77046,1
"1283",77165,1
"1284",77225,1
"1285",77472,1
"1286",93039,4
"1287",94060,3
"1288",78346,1
"1289",78505,1
